0,0.011921,0.00149
0.0005,0.008047,0.00447
0.001,0.008941,0.007749
0.0015,0.008941,0.009537
0.002,0.006557,0.004172
0.0025,0.004768,0.00447
0.003,0.005066,0.005662
0.0035,0.008643,0.00298
0.004,0.00447,0.000298
0.0045,0.00447,0.008345
0.005,0.006855,0.007749
0.0055,0.008047,0.006557
0.006,0.005662,0.010431
0.0065,0.006258,0.003278
0.007,0.005662,0.002384
0.0075,0.003874,0.000894
0.008,0.007749,0.006855
0.0085,0.005662,0.005662
0.009,0.003576,0.004768
0.0095,0.004172,0.004768
0.01,0.006855,0.004172
0.0105,0.006855,0.006557
0.011,0.008941,0.004768
0.0115,0.006855,0.004172
0.012,0.007749,0.005364
0.0125,0.006557,0.007451
0.013,0.007451,0.004768
0.0135,0.010133,0.00447
0.014,0.006855,0.000894
0.0145,0.008643,0.003576
0.015,0.009835,-0.001192
0.0155,0.005364,0.003278
0.016,0.00447,0.007451
0.0165,0.003278,0.007153
0.017,0.00596,0.006557
0.0175,0.003874,0.00149
0.018,0.001788,0.004768
0.0185,0.007451,0.006557
0.019,0.00298,0.009239
0.0195,0.005066,0.00596
0.02,0.006557,0.006855
0.0205,0.008047,0.007153
0.021,0.006557,0.00149
0.0215,0.008941,0.003278
0.022,0.008643,0.002384
0.0225,0.011921,0.004172
0.023,0.007749,0.000298
0.0235,0.007749,0.001788
0.024,0.004768,0.00149
0.0245,0.006258,0.00298
0.025,0.002384,0.003576
0.0255,0.003278,0.002682
0.026,0.005066,0.00298
0.0265,0.006258,0.002086
0.027,0.002682,0.003576
0.0275,-0.000894,0.005662
0.028,-0.000298,0.004768
0.0285,0,0.00596
0.029,-0.002086,0.008643
0.0295,-0.001192,0.007451
0.03,0.000894,0.005662
0.0305,0.005364,0.003874
0.031,0.002682,0.004172
0.0315,0.001192,0.00447
0.032,0.001788,0.001788
0.0325,0.00447,-0.000596
0.033,0.003874,0.002682
0.0335,0.003576,0.000298
0.034,-0.001788,0.002086
0.0345,-0.006557,0.004172
0.035,-0.00298,0.002384
0.0355,0.00149,0.003278
0.036,0.003874,0.00298
0.0365,0.004768,0.003278
0.037,0.00149,0.003278
0.0375,-0.001192,0.005066
0.038,0.000596,0.003278
0.0385,0.003874,0.003874
0.039,0.003576,0.007451
0.0395,0.002682,0.00447
0.04,0.00298,0.004172
0.0405,0.002086,0.001788
0.041,0.003278,0.003278
0.0415,0.008047,0.007749
0.042,0.005066,0.008047
0.0425,0.004172,0.005662
0.043,0,0.003874
0.0435,0.001192,0.006855
0.044,0.001192,0.00298
0.0445,0.005364,0.004768
0.045,0.005662,0.005066
0.0455,0.006855,0.005364
0.046,0.003576,0.001788
0.0465,0.002384,0.002384
0.047,0.00149,0.004768
0.0475,0.00149,0.012219
